0,20.27,19.7,19.55,0.036,2.70E-09,8.96E+08,167,25
10,20.56,19.84,19.7,0.036,2.70E-09,8.96E+08,167,25
20,20.41,20.99,20.7,0.036,2.70E-09,8.96E+08,167,25
30,20.41,26.73,26.01,0.036,2.70E-09,8.96E+08,167,25
40,20.7,31.81,30.93,0.036,2.70E-09,8.96E+08,167,25
50,20.99,37.28,36.24,0.036,2.70E-09,8.96E+08,167,25
60,21.27,43.08,42.3,0.036,2.70E-09,8.96E+08,167,25
70,21.27,49.12,48.15,0.036,2.70E-09,8.96E+08,167,25
80,21.56,53.96,53.45,0.036,2.70E-09,8.96E+08,167,25
90,22.13,59.96,58.33,0.036,2.70E-09,8.96E+08,167,25
100,22.42,64.65,62.55,0.036,2.70E-09,8.96E+08,167,25
110,22.56,67.01,64.65,0.036,2.70E-09,8.96E+08,167,25
120,23.14,69.03,66.02,0.036,2.70E-09,8.96E+08,167,25
130,22.99,69.44,66.81,0.036,2.70E-09,8.96E+08,167,25
140,23.28,69.44,66.41,0.036,2.70E-09,8.96E+08,167,25
150,23.57,68.82,66.41,0.036,2.70E-09,8.96E+08,167,25
160,23.71,67.81,66.02,0.036,2.70E-09,8.96E+08,167,25
170,23.85,67.81,65.23,0.036,2.70E-09,8.96E+08,167,25
180,24,67.41,64.65,0.036,2.70E-09,8.96E+08,167,25
190,24.57,67.21,64.46,0.036,2.70E-09,8.96E+08,167,25
200,24.43,67.01,64.46,0.036,2.70E-09,8.96E+08,167,25
210,24.72,66.21,63.5,0.036,2.70E-09,8.96E+08,167,25
220,25,65.82,63.31,0.036,2.70E-09,8.96E+08,167,25
230,25,65.62,62.93,0.036,2.70E-09,8.96E+08,167,25
240,25.15,65.23,62.55,0.036,2.70E-09,8.96E+08,167,25
250,25.58,65.04,62.55,0.036,2.70E-09,8.96E+08,167,25
260,25.72,64.65,62.18,0.036,2.70E-09,8.96E+08,167,25
270,25.72,64.84,62.36,0.036,2.70E-09,8.96E+08,167,25
280,26.01,64.84,61.99,0.036,2.70E-09,8.96E+08,167,25
290,26.01,64.65,61.8,0.036,2.70E-09,8.96E+08,167,25
300,26.3,64.65,61.8,0.036,2.70E-09,8.96E+08,167,25
310,26.3,65.04,61.99,0.036,2.70E-09,8.96E+08,167,25
320,26.59,65.04,61.8,0.036,2.70E-09,8.96E+08,167,25
331,26.73,64.65,61.62,0.036,2.70E-09,8.96E+08,167,25
341,27.02,64.65,61.99,0.036,2.70E-09,8.96E+08,167,25
351,27.16,64.65,61.8,0.036,2.70E-09,8.96E+08,167,25
361,27.02,64.46,61.62,0.036,2.70E-09,8.96E+08,167,25
371,27.45,64.84,61.99,0.036,2.70E-09,8.96E+08,167,25
381,27.6,64.84,61.99,0.036,2.70E-09,8.96E+08,167,25
391,27.74,64.46,61.99,0.036,2.70E-09,8.96E+08,167,25
401,28.03,63.88,61.62,0.036,2.70E-09,8.96E+08,167,25
411,28.03,64.27,61.62,0.036,2.70E-09,8.96E+08,167,25
421,28.18,63.69,61.25,0.036,2.70E-09,8.96E+08,167,25
431,28.46,64.07,61.62,0.036,2.70E-09,8.96E+08,167,25
441,28.46,63.5,61.43,0.036,2.70E-09,8.96E+08,167,25
451,28.75,63.5,61.62,0.036,2.70E-09,8.96E+08,167,25
461,29.04,63.5,61.8,0.036,2.70E-09,8.96E+08,167,25
471,28.75,62.93,61.62,0.036,2.70E-09,8.96E+08,167,25
481,29.04,63.31,61.62,0.036,2.70E-09,8.96E+08,167,25
491,29.33,62.93,61.62,0.036,2.70E-09,8.96E+08,167,25
501,29.62,62.74,61.43,0.036,2.70E-09,8.96E+08,167,25
511,29.48,62.36,61.43,0.036,2.70E-09,8.96E+08,167,25
521,29.48,62.55,61.06,0.036,2.70E-09,8.96E+08,167,25
531,29.91,61.99,61.06,0.036,2.70E-09,8.96E+08,167,25
541,30.06,61.8,61.06,0.036,2.70E-09,8.96E+08,167,25
551,30.06,61.99,61.06,0.036,2.70E-09,8.96E+08,167,25
561,30.35,61.62,61.06,0.036,2.70E-09,8.96E+08,167,25
571,30.5,61.43,61.06,0.036,2.70E-09,8.96E+08,167,25
581,30.5,61.8,61.25,0.036,2.70E-09,8.96E+08,167,25
591,30.93,61.25,60.88,0.036,2.70E-09,8.96E+08,167,25
601,30.93,60.51,61.06,0.036,2.70E-09,8.96E+08,167,25
611,31.08,60.69,60.88,0.036,2.70E-09,8.96E+08,167,25
621,31.23,61.06,60.88,0.036,2.70E-09,8.96E+08,167,25
631,31.37,60.51,61.06,0.036,2.70E-09,8.96E+08,167,25
641,31.37,60.51,60.88,0.036,2.70E-09,8.96E+08,167,25
651,31.37,60.69,60.51,0.036,2.70E-09,8.96E+08,167,25
661,31.66,60.32,60.69,0.036,2.70E-09,8.96E+08,167,25
671,31.81,60.14,60.69,0.036,2.70E-09,8.96E+08,167,25
681,31.81,59.96,60.14,0.036,2.70E-09,8.96E+08,167,25
691,32.1,59.78,60.32,0.036,2.70E-09,8.96E+08,167,25
701,32.25,59.96,60.51,0.036,2.70E-09,8.96E+08,167,25
711,32.4,59.59,60.69,0.036,2.70E-09,8.96E+08,167,25
721,32.69,59.78,60.69,0.036,2.70E-09,8.96E+08,167,25
731,32.4,59.78,60.32,0.036,2.70E-09,8.96E+08,167,25
741,32.84,59.59,60.32,0.036,2.70E-09,8.96E+08,167,25
751,32.98,59.78,60.14,0.036,2.70E-09,8.96E+08,167,25
761,33.13,59.59,60.51,0.036,2.70E-09,8.96E+08,167,25
771,33.42,59.59,60.51,0.036,2.70E-09,8.96E+08,167,25
781,33.72,59.78,60.69,0.036,2.70E-09,8.96E+08,167,25
791,33.72,59.41,60.51,0.036,2.70E-09,8.96E+08,167,25
801,33.87,59.23,60.32,0.036,2.70E-09,8.96E+08,167,25
811,33.72,58.87,60.14,0.036,2.70E-09,8.96E+08,167,25
821,33.42,58.87,59.78,0.036,2.70E-09,8.96E+08,167,25
831,34.01,59.41,59.96,0.036,2.70E-09,8.96E+08,167,25
841,34.16,59.59,60.32,0.036,2.70E-09,8.96E+08,167,25
851,34.31,59.59,60.69,0.036,2.70E-09,8.96E+08,167,25
861,34.46,59.23,60.32,0.036,2.70E-09,8.96E+08,167,25
871,34.46,59.05,60.32,0.036,2.70E-09,8.96E+08,167,25
881,34.75,59.41,60.32,0.036,2.70E-09,8.96E+08,167,25
891,34.75,59.05,60.14,0.036,2.70E-09,8.96E+08,167,25
901,34.9,59.23,60.69,0.036,2.70E-09,8.96E+08,167,25
911,35.05,58.87,60.32,0.036,2.70E-09,8.96E+08,167,25
921,35.2,59.05,60.32,0.036,2.70E-09,8.96E+08,167,25
931,35.2,59.05,60.51,0.036,2.70E-09,8.96E+08,167,25
942,35.34,59.05,60.14,0.036,2.70E-09,8.96E+08,167,25
952,35.64,59.05,60.14,0.036,2.70E-09,8.96E+08,167,25
962,35.64,58.87,60.51,0.036,2.70E-09,8.96E+08,167,25
