181.628,17.27,20.81,372092,25.77
183.181,20.06,22.71,373645,28.56
184.733,23.3,24.62,375197,31.8
186.285,25.51,25.14,376749,34.01
187.838,27.13,26.15,378302,35.63
189.39,28.64,27.1,379854,37.14
190.943,30.47,27.39,381407,38.97
192.495,31.81,25.84,382959,40.31
194.047,32.64,28.15,384511,41.14
195.6,34.39,28.46,386064,42.89
197.152,35.46,28.53,387616,43.96
198.704,36.43,28.89,389168,44.93
200.257,37.61,29.07,390721,46.11
201.809,38.58,29.18,392273,47.08
203.362,39.34,29.31,393826,47.84
204.914,40.51,29.43,395378,49.01
206.466,41.12,29.36,396930,49.62
208.019,41.93,29.5,398483,50.43
209.571,41.87,29.27,400035,50.37
211.123,41.74,29.04,401587,50.24
212.676,41.9,29.07,403140,50.4
214.228,41.93,28.82,404692,50.43
215.781,41.93,28.64,406245,50.43
217.333,41.87,28.77,407797,50.37
218.885,41.93,28.89,409349,50.43
220.438,42.16,28.64,410902,50.66
221.99,41.28,28.46,412454,49.78
223.542,41.47,28.5,414006,49.97
225.095,41.54,28.46,415559,50.04
226.647,41.54,28.46,417111,50.04
228.2,41.38,28.68,418664,49.88
229.752,40.96,28.15,420216,49.46
231.304,41.08,28.17,421768,49.58
232.857,41.12,28.17,423321,49.62
234.409,40.51,27.92,424873,49.01
235.961,40.76,28.15,426425,49.26
237.514,40.96,28.15,427978,49.46
239.066,40.57,27.83,429530,49.07
240.619,40.32,27.97,431083,48.82
242.171,40.22,27.83,432635,48.72
243.723,39.87,27.74,434187,48.37
245.276,40.44,27.97,435740,48.94
246.828,40.25,27.92,437292,48.75
248.38,40.6,27.92,438844,49.1
249.933,40.35,27.97,440397,48.85
251.485,40.51,27.83,441949,49.01
253.038,40.19,27.57,443502,48.69
254.59,40,27.46,445054,48.5
256.142,40.25,27.9,446606,48.75
257.695,40.06,27.57,448159,48.56
259.247,40.06,27.74,449711,48.56
260.799,40.19,27.79,451263,48.69
262.352,40.09,27.83,452816,48.59
263.904,40.57,27.97,454368,49.07
265.457,40.57,27.97,455921,49.07
267.009,41.02,27.92,457473,49.52
268.561,40.51,27.92,459025,49.01
270.114,40.19,27.97,460578,48.69
271.666,40.35,28.15,462130,48.85
273.218,40.57,27.97,463682,49.07
274.771,40.25,27.97,465235,48.75
276.323,40.51,27.92,466787,49.01
277.876,40.83,27.83,468340,49.33
279.428,40.6,28.06,469892,49.1
280.98,40.6,27.97,471444,49.1
282.533,40.6,28.33,472997,49.1
284.085,40.76,28.17,474549,49.26
285.638,40.83,28.17,476102,49.33
287.19,40.6,28.06,477654,49.1
288.742,40.57,28.15,479206,49.07
290.295,40.76,27.99,480759,49.26
291.847,40.83,28.06,482311,49.33
293.399,41.02,28.17,483863,49.52
294.952,40.76,28.17,485416,49.26
296.504,40.86,28.17,486968,49.36
298.057,40.96,28.17,488521,49.46
299.609,40.86,28.15,490073,49.36
301.161,40.7,28.28,491625,49.2
302.714,41.12,28.1,493178,49.62
304.266,40.83,28.33,494730,49.33
305.818,39.56,28.33,496282,48.06
307.371,40.86,28.35,497835,49.36
308.923,41.02,28.46,499387,49.52
310.476,41.15,28.37,500940,49.65
312.028,40.7,28.35,502492,49.2
313.58,40.83,28.28,504044,49.33
315.133,40.86,27.99,505597,49.36
316.685,40.86,28.28,507149,49.36
318.237,40.89,27.99,508701,49.39
319.79,40,28.15,510254,48.5
321.342,40.83,28.28,511806,49.33
322.895,40.83,28.15,513359,49.33
324.447,40.57,28.33,514911,49.07
325.999,40.7,27.99,516463,49.2
327.552,40.6,28.17,518016,49.1
329.104,40.57,28.17,519568,49.07
330.656,40.76,28.33,521120,49.26
332.209,40.6,28.53,522673,49.1
333.761,40.73,28.1,524225,49.23
335.314,40.54,28.41,525778,49.04
336.866,40.76,28.15,527330,49.26
338.418,41.02,28.5,528882,49.52
339.971,40.44,28.33,530435,48.94
341.523,40.6,28.35,531987,49.1
343.075,40.44,28.35,533539,48.94
344.628,40.57,28.33,535092,49.07
346.18,40.83,28.33,536644,49.33
347.733,40.35,28.46,538197,48.85
349.285,40.35,28.5,539749,48.85
350.837,40.51,28.35,541301,49.01
352.39,40.19,28.33,542854,48.69
353.942,40.35,28.33,544406,48.85
355.494,40.06,28.33,545958,48.56
357.047,40.09,28.35,547511,48.59
358.599,40,28.46,549063,48.5
360.152,40.32,28.35,550616,48.82
361.704,40.25,28.37,552168,48.75
363.256,40.25,28.33,553720,48.75
364.809,40.32,28.15,555273,48.82
366.361,40.32,28.35,556825,48.82
367.913,40.25,28.5,558377,48.75
369.466,40.19,28.5,559930,48.69
371.018,40.09,28.33,561482,48.59
372.571,39.94,28.41,563035,48.44
374.123,40,28.46,564587,48.5
375.675,40.32,28.41,566139,48.82
377.228,40.09,28.33,567692,48.59
378.78,40.06,28.41,569244,48.56
380.333,40.32,28.64,570797,48.82
381.885,40.06,27.46,572349,48.56
383.437,41.38,28.53,573901,49.88
384.99,40.25,28.53,575454,48.75
386.542,40.19,28.5,577006,48.69
388.094,40,28.41,578558,48.5
389.647,40.06,28.46,580111,48.56
391.199,40.06,28.64,581663,48.56
392.752,40.09,28.5,583216,48.59
394.304,40.06,28.5,584768,48.56
395.856,39.81,28.44,586320,48.31
397.409,40,28.64,587873,48.5
398.961,39.81,28.64,589425,48.31
400.513,41.21,28.33,590977,49.71
402.066,39.75,28.28,592530,48.25
403.618,39.84,28.5,594082,48.34
405.171,39.81,28.5,595635,48.31
406.723,39.81,28.46,597187,48.31
408.275,39.69,28.53,598739,48.19
409.828,39.72,28.71,600292,48.22
411.38,39.34,28.89,601844,47.84
412.932,39.47,28.5,603396,47.97
414.485,39.69,28.64,604949,48.19
416.037,39.56,28.53,606501,48.06
417.59,39.44,28.53,608054,47.94
419.142,39.56,28.68,609606,48.06
420.694,39.5,28.5,611158,48
422.247,39.5,28.5,612711,48
423.799,39.34,28.53,614263,47.84
