290,T_ind,33.2416,T_ext_1,60.14,T_ext_2,62.36,Film_Coefficient,0.036,Density,2.70E-09,Specific_Heat,8.96E+08,Thermal_Conductivity,167,Radius,15,34.184192
300,T_ind,33.3984,T_ext_1,59.96,T_ext_2,61.62,Film_Coefficient,0.036,Density,2.70E-09,Specific_Heat,8.96E+08,Thermal_Conductivity,167,Radius,15,34.359808
310,T_ind,33.7344,T_ext_1,59.96,T_ext_2,61.8,Film_Coefficient,0.036,Density,2.70E-09,Specific_Heat,8.96E+08,Thermal_Conductivity,167,Radius,15,34.736128
320,T_ind,33.8912,T_ext_1,60.14,T_ext_2,61.8,Film_Coefficient,0.036,Density,2.70E-09,Specific_Heat,8.96E+08,Thermal_Conductivity,167,Radius,15,34.911744
330,T_ind,34.2272,T_ext_1,59.59,T_ext_2,61.8,Film_Coefficient,0.036,Density,2.70E-09,Specific_Heat,8.96E+08,Thermal_Conductivity,167,Radius,15,35.288064
340,T_ind,34.552,T_ext_1,59.96,T_ext_2,61.62,Film_Coefficient,0.036,Density,2.70E-09,Specific_Heat,8.96E+08,Thermal_Conductivity,167,Radius,15,35.65184
350,T_ind,34.72,T_ext_1,60.14,T_ext_2,61.99,Film_Coefficient,0.036,Density,2.70E-09,Specific_Heat,8.96E+08,Thermal_Conductivity,167,Radius,15,35.84
360,T_ind,35.0448,T_ext_1,60.32,T_ext_2,62.18,Film_Coefficient,0.036,Density,2.70E-09,Specific_Heat,8.96E+08,Thermal_Conductivity,167,Radius,15,36.203776
370,T_ind,35.3808,T_ext_1,60.14,T_ext_2,61.99,Film_Coefficient,0.036,Density,2.70E-09,Specific_Heat,8.96E+08,Thermal_Conductivity,167,Radius,15,36.580096
380,T_ind,35.2128,T_ext_1,59.41,T_ext_2,61.62,Film_Coefficient,0.036,Density,2.70E-09,Specific_Heat,8.96E+08,Thermal_Conductivity,167,Radius,15,36.391936
390,T_ind,35.8736,T_ext_1,59.05,T_ext_2,61.43,Film_Coefficient,0.036,Density,2.70E-09,Specific_Heat,8.96E+08,Thermal_Conductivity,167,Radius,15,37.132032
401,T_ind,35.8736,T_ext_1,59.59,T_ext_2,61.62,Film_Coefficient,0.036,Density,2.70E-09,Specific_Heat,8.96E+08,Thermal_Conductivity,167,Radius,15,37.132032
411,T_ind,36.3776,T_ext_1,59.05,T_ext_2,61.25,Film_Coefficient,0.036,Density,2.70E-09,Specific_Heat,8.96E+08,Thermal_Conductivity,167,Radius,15,37.696512
