,T_int,T_ext_1,T_ext_2,Film_Coefficient,Density,Specific_Heat,Thermal_Conductivity,Radius
821,40.61,60.88,60.88,0.036,7.87E-09,4.86E+08,51.9,25
831,40.77,61.25,60.69,0.036,7.87E-09,4.86E+08,51.9,25
841,40.61,61.06,60.51,0.036,7.87E-09,4.86E+08,51.9,25
851,40.77,60.51,60.51,0.036,7.87E-09,4.86E+08,51.9,25
861,41.23,60.32,60.51,0.036,7.87E-09,4.86E+08,51.9,25
871,41.38,60.32,60.14,0.036,7.87E-09,4.86E+08,51.9,25
881,41.23,60.69,60.32,0.036,7.87E-09,4.86E+08,51.9,25
891,41.53,60.88,60.32,0.036,7.87E-09,4.86E+08,51.9,25
901,41.84,60.88,60.51,0.036,7.87E-09,4.86E+08,51.9,25
911,41.99,60.88,60.51,0.036,7.87E-09,4.86E+08,51.9,25
921,41.84,60.69,60.32,0.036,7.87E-09,4.86E+08,51.9,25
931,41.84,60.88,60.32,0.036,7.87E-09,4.86E+08,51.9,25
941,41.99,60.88,60.51,0.036,7.87E-09,4.86E+08,51.9,25
951,42.3,61.06,60.32,0.036,7.87E-09,4.86E+08,51.9,25
961,41.99,61.06,60.51,0.036,7.87E-09,4.86E+08,51.9,25
971,42.46,60.88,60.32,0.036,7.87E-09,4.86E+08,51.9,25
981,42.46,61.06,60.32,0.036,7.87E-09,4.86E+08,51.9,25
991,42.3,60.69,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1001,42.61,60.32,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1011,42.61,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1021,42.77,60.69,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1031,42.92,60.69,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1041,43.08,61.06,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1051,43.23,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1062,43.39,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1072,43.55,60.32,60.32,0.036,7.87E-09,4.86E+08,51.9,25
1082,43.55,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1092,43.7,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1102,43.86,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1112,43.86,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1122,44.01,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1132,44.01,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1142,44.01,59.96,60.32,0.036,7.87E-09,4.86E+08,51.9,25
1152,44.33,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1162,44.33,60.69,60.32,0.036,7.87E-09,4.86E+08,51.9,25
1172,44.64,60.69,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1182,44.64,61.06,60.51,0.036,7.87E-09,4.86E+08,51.9,25
1192,44.96,60.69,60.51,0.036,7.87E-09,4.86E+08,51.9,25
1202,44.96,60.69,60.32,0.036,7.87E-09,4.86E+08,51.9,25
1212,44.96,60.14,60.32,0.036,7.87E-09,4.86E+08,51.9,25
1222,44.8,60.32,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1232,45.27,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1242,45.27,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1252,45.43,60.69,60.32,0.036,7.87E-09,4.86E+08,51.9,25
1262,45.43,60.69,60.51,0.036,7.87E-09,4.86E+08,51.9,25
1272,45.75,61.06,60.69,0.036,7.87E-09,4.86E+08,51.9,25
1282,45.59,60.88,60.69,0.036,7.87E-09,4.86E+08,51.9,25
1292,45.91,60.69,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1302,45.75,60.69,60.32,0.036,7.87E-09,4.86E+08,51.9,25
1312,45.91,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1322,45.91,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1332,46.22,60.69,60.51,0.036,7.87E-09,4.86E+08,51.9,25
1342,46.06,60.88,60.51,0.036,7.87E-09,4.86E+08,51.9,25
1352,46.22,60.32,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1362,46.7,61.06,60.32,0.036,7.87E-09,4.86E+08,51.9,25
1372,46.7,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1382,46.7,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1392,46.86,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1402,46.86,60.69,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1412,47.02,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1422,46.86,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1432,47.18,60.32,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1442,47.18,60.51,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1452,47.5,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1462,47.5,60.69,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1472,47.5,60.69,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1482,47.5,60.32,60.32,0.036,7.87E-09,4.86E+08,51.9,25
1492,47.83,60.88,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1502,47.99,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1512,47.66,60.14,59.59,0.036,7.87E-09,4.86E+08,51.9,25
1522,47.99,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1532,47.99,60.14,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1542,48.31,60.69,60.32,0.036,7.87E-09,4.86E+08,51.9,25
1552,48.31,60.69,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1562,48.47,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1572,48.31,60.69,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1582,48.47,59.96,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1592,48.31,59.96,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1602,48.8,59.96,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1612,48.8,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1622,48.8,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1632,49.12,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1642,49.29,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1652,49.12,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1663,49.29,60.51,60.32,0.036,7.87E-09,4.86E+08,51.9,25
1673,49.45,60.32,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1683,49.45,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1693,49.61,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1703,49.45,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1713,49.61,60.14,59.59,0.036,7.87E-09,4.86E+08,51.9,25
1723,49.94,60.69,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1733,49.94,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1743,49.78,60.69,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1753,49.94,60.69,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1763,50.11,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1773,50.27,60.69,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1783,50.27,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1793,50.27,60.32,59.59,0.036,7.87E-09,4.86E+08,51.9,25
1803,50.6,59.96,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1813,50.44,60.32,59.59,0.036,7.87E-09,4.86E+08,51.9,25
1823,50.44,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1833,50.6,60.32,59.59,0.036,7.87E-09,4.86E+08,51.9,25
1843,50.77,60.51,59.41,0.036,7.87E-09,4.86E+08,51.9,25
1853,50.77,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1863,50.93,59.59,59.59,0.036,7.87E-09,4.86E+08,51.9,25
1873,50.93,60.14,59.59,0.036,7.87E-09,4.86E+08,51.9,25
1883,51.1,60.32,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1893,51.1,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1903,51.1,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1913,51.26,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1923,51.43,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1933,51.6,60.32,60.32,0.036,7.87E-09,4.86E+08,51.9,25
1943,51.6,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1953,51.43,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
1963,51.6,59.96,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1973,51.6,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
1983,51.76,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
1993,52.1,60.69,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2003,52.1,60.69,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2013,51.93,60.69,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2023,51.93,61.06,60.32,0.036,7.87E-09,4.86E+08,51.9,25
2033,52.1,60.88,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2043,52.1,60.88,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2053,52.27,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2063,52.44,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2073,52.77,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2083,52.6,60.69,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2093,52.6,60.69,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2103,52.27,60.32,59.41,0.036,7.87E-09,4.86E+08,51.9,25
2113,52.94,60.51,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2123,52.94,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2133,52.94,60.32,59.59,0.036,7.87E-09,4.86E+08,51.9,25
2143,52.94,60.51,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2153,52.94,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2163,53.11,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2173,53.11,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2183,53.28,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2193,53.28,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2203,53.45,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2213,53.62,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2223,53.62,60.14,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2233,53.62,60.14,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2243,53.79,60.32,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2253,53.79,60.14,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2263,53.79,59.78,59.59,0.036,7.87E-09,4.86E+08,51.9,25
2274,53.79,59.78,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2284,53.79,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2294,54.13,59.96,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2304,54.13,60.14,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2314,54.13,59.78,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2324,54.13,60.51,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2334,54.48,60.88,60.32,0.036,7.87E-09,4.86E+08,51.9,25
2344,54.3,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2354,54.3,60.14,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2364,54.65,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2374,54.48,60.69,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2384,54.82,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2394,54.65,60.69,60.32,0.036,7.87E-09,4.86E+08,51.9,25
2404,54.48,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2414,54.82,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2424,54.99,60.69,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2434,54.65,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2444,54.82,60.51,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2454,54.99,60.14,59.59,0.036,7.87E-09,4.86E+08,51.9,25
2464,55.34,59.96,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2474,55.34,59.96,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2484,55.51,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2494,55.34,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2504,55.51,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2514,55.51,60.69,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2524,55.69,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2534,55.86,59.59,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2544,55.86,59.96,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2554,55.69,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2564,55.69,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2574,56.03,60.51,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2584,55.86,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2594,56.03,60.88,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2604,56.21,60.32,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2614,56.21,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2624,56.21,60.69,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2634,56.21,60.69,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2644,56.56,59.96,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2654,56.38,59.23,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2664,56.38,59.59,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2674,56.21,59.59,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2684,56.56,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2694,56.73,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2704,56.73,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2714,56.56,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2724,56.73,60.69,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2734,57.09,60.32,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2744,56.73,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2754,56.91,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2764,57.09,60.14,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2774,57.26,60.69,60.32,0.036,7.87E-09,4.86E+08,51.9,25
2784,57.09,60.32,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2794,57.26,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2804,57.44,59.96,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2814,57.26,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2824,57.26,60.14,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2834,57.44,59.78,59.59,0.036,7.87E-09,4.86E+08,51.9,25
2844,57.44,59.59,59.78,0.036,7.87E-09,4.86E+08,51.9,25
2854,57.44,59.96,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2865,57.8,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2875,57.44,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2885,57.62,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2895,57.8,60.32,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2905,57.97,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2915,57.8,60.69,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2925,57.8,60.69,60.32,0.036,7.87E-09,4.86E+08,51.9,25
2935,58.15,61.25,60.32,0.036,7.87E-09,4.86E+08,51.9,25
2945,58.15,61.25,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2955,57.97,60.88,60.32,0.036,7.87E-09,4.86E+08,51.9,25
2965,58.15,60.69,60.32,0.036,7.87E-09,4.86E+08,51.9,25
2975,57.97,60.32,60.14,0.036,7.87E-09,4.86E+08,51.9,25
2985,58.15,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
2995,58.15,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3005,58.15,60.69,60.14,0.036,7.87E-09,4.86E+08,51.9,25
3015,58.15,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3025,58.33,59.78,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3035,58.51,59.78,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3045,58.69,59.78,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3055,58.87,59.96,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3065,58.51,59.96,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3075,58.87,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3085,58.87,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3095,58.69,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3105,58.69,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3115,58.87,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3125,59.05,59.96,59.59,0.036,7.87E-09,4.86E+08,51.9,25
3135,58.87,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3145,59.05,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3155,59.05,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3165,59.23,60.69,60.32,0.036,7.87E-09,4.86E+08,51.9,25
3175,59.05,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
3185,59.23,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3195,59.23,59.96,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3205,59.23,59.96,59.59,0.036,7.87E-09,4.86E+08,51.9,25
3215,59.23,60.51,59.59,0.036,7.87E-09,4.86E+08,51.9,25
3225,59.59,60.88,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3235,59.59,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3245,59.59,59.96,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3255,59.59,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3265,59.59,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
3275,59.41,60.88,60.14,0.036,7.87E-09,4.86E+08,51.9,25
3285,59.78,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
3295,59.78,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3305,59.78,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3315,59.96,59.96,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3325,60.14,60.14,60.14,0.036,7.87E-09,4.86E+08,51.9,25
3335,60.14,60.14,60.14,0.036,7.87E-09,4.86E+08,51.9,25
3345,60.14,60.32,60.32,0.036,7.87E-09,4.86E+08,51.9,25
3355,59.96,59.96,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3365,59.96,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3375,60.14,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3385,60.14,59.96,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3395,60.14,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3405,60.14,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3415,60.69,60.32,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3425,60.14,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3435,60.32,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3445,60.14,60.14,59.78,0.036,7.87E-09,4.86E+08,51.9,25
3455,60.32,60.14,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3466,60.69,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
3476,60.69,60.51,60.32,0.036,7.87E-09,4.86E+08,51.9,25
3486,60.69,60.32,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3496,60.69,60.51,60.14,0.036,7.87E-09,4.86E+08,51.9,25
3506,60.88,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3516,60.88,60.69,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3526,60.88,60.88,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3536,60.88,60.51,59.96,0.036,7.87E-09,4.86E+08,51.9,25
3546,60.88,60.69,60.14,0.036,7.87E-09,4.86E+08,51.9,25
3556,61.06,60.69,59.96,0.036,7.87E-09,4.86E+08,51.9,25
